MODEL,OA_DATE,ITEM_CODE,QTY,UNIT_PRICE,BASIC_VALUE,ITEM_DESCRIPTION
ACR SPARES,2021-12-13,336.40.401.50.,24.0,6162.0,147888.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-13,082.03.110.50.,12.0,2830.0,33960.0,PISTON KC/KCX
ACR SPARES,2021-12-13,082.08.000.50.,8.0,5901.0,47208.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-13,082.04.030.50.,24.0,1348.0,32352.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-14,082.04.030.50.,8.0,1348.0,10784.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-14,082.08.000.50.,2.0,5901.0,11802.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-15,082.04.030.50.,20.0,1348.0,26960.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-15,082.03.110.50.,15.0,2830.0,42450.0,PISTON KC/KCX
ACR SPARES,2021-12-15,082.08.000.50.,10.0,5901.0,59010.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-15,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-15,082.03.110.50.,10.0,2830.0,28300.0,PISTON KC/KCX
ACR SPARES,2021-12-15,082.03.110.50.,10.0,2830.0,28300.0,PISTON KC/KCX
ACR SPARES,2021-12-15,336.40.401.50.,10.0,6162.0,61620.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-15,082.04.030.50.,10.0,1348.0,13480.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-15,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-16,082.03.110.50.,10.0,2830.0,28300.0,PISTON KC/KCX
ACR SPARES,2021-12-17,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-17,082.04.030.50.,20.0,1348.0,26960.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-17,082.03.110.50.,12.0,2830.0,33960.0,PISTON KC/KCX
ACR SPARES,2021-12-17,336.40.401.50.,24.0,6162.0,147888.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-17,082.04.030.50.,25.0,1348.0,33700.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-17,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-17,082.04.030.50.,15.0,1348.0,20220.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-17,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-12-17,082.04.030.50.,20.0,1348.0,26960.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-12-17,336.40.401.50.,5.0,6162.0,30810.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-18,336.40.401.50.,8.0,6162.0,49296.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-12-18,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
